x,y,velocity,curvature
349.932171,152.761748,14.900000,0.000856
350.182643,143.906437,14.900000,0.000897
350.495952,135.043724,14.900000,0.001735
350.922527,125.942150,14.833168,0.004580
351.463078,116.410620,14.358065,0.011157
351.452858,106.798357,13.138012,0.021144
349.752201,97.840186,11.658933,0.030906
345.295514,90.271928,10.554585,0.037189
338.324562,84.715934,9.863610,0.041371
330.111457,81.705120,9.414462,0.046242
321.956234,81.769982,9.317877,0.049114
315.154025,85.435137,9.807549,0.043941
310.363617,92.462750,10.810521,0.030750
306.986185,101.116190,11.980699,0.016700
304.402991,110.156128,13.096952,0.007816
302.199560,119.418551,14.018071,0.005395
299.979661,128.835474,14.387028,0.009008
297.321142,138.235305,13.841799,0.017295
293.626046,146.743620,12.821466,0.025846
288.241150,153.219190,12.378438,0.028660
281.136953,157.403477,12.867608,0.023951
273.057605,160.133637,13.734267,0.016073
264.620903,162.124502,14.456818,0.010042
255.949520,163.550334,14.805533,0.006921
247.078934,164.490194,14.891724,0.005298
238.044624,165.023142,14.900000,0.004091
228.882069,165.228240,14.900000,0.003006
219.626748,165.184550,14.900000,0.002027
210.314138,164.971133,14.900000,0.001252
200.979719,164.667050,14.900000,0.000896
191.658969,164.351362,14.900000,0.001108
182.387367,164.103130,14.900000,0.001758
173.200392,164.001417,14.900000,0.002438
164.133522,164.125283,14.900000,0.002669
155.213656,164.539419,14.900000,0.002332
146.382335,165.165539,14.900000,0.001968
137.532164,165.843390,14.900000,0.002236
128.555169,166.411753,14.900000,0.003057
119.343378,166.709405,14.873926,0.004025
109.789300,166.575797,14.646576,0.006060
99.981978,166.123198,13.859864,0.011852
90.507703,166.154146,12.442347,0.022917
82.030212,167.578688,10.979520,0.035505
75.213242,171.306869,10.207673,0.042029
70.646470,178.030673,10.348072,0.039208
68.434882,187.014971,10.975938,0.032347
68.488535,196.950680,11.391863,0.029069
70.716953,206.527157,11.323987,0.031114
75.029656,214.433772,11.224942,0.033581
81.260864,219.743047,11.611817,0.030807
88.974276,222.903926,12.458194,0.022229
97.672867,224.674326,13.437313,0.012248
106.859612,225.812161,14.267609,0.005255
116.104955,226.968929,14.738535,0.002177
125.309966,228.274628,14.882614,0.001344
134.476831,229.699764,14.900000,0.001067
143.607763,231.214802,14.900000,0.000768
152.704973,232.790208,14.900000,0.000489
161.770675,234.396449,14.900000,0.000350
170.807081,236.003989,14.900000,0.000418
179.816402,237.583294,14.900000,0.000665
188.800852,239.104830,14.900000,0.001006
197.762642,240.539063,14.900000,0.001377
206.703985,241.856459,14.900000,0.001766
215.627092,243.027482,14.900000,0.002184
224.534295,244.022533,14.900000,0.002643
233.435383,244.807819,14.900000,0.003132
242.351921,245.342930,14.900000,0.003619
251.306516,245.586871,14.900000,0.004066
260.321771,245.498648,14.900000,0.004453
269.420292,245.037266,14.900000,0.004796
278.624684,244.161731,14.900000,0.005174
287.939586,242.831415,14.900000,0.005717
297.243429,241.008264,14.900000,0.006565
306.360551,238.655326,14.900000,0.007887
315.115086,235.735654,14.856226,0.010196
323.331167,232.212299,14.536903,0.014556
330.832925,228.048317,13.723834,0.020986
337.337220,223.062382,12.929320,0.026061
342.099302,216.447797,12.921748,0.025187
344.988340,208.092251,13.611405,0.018474
346.761720,198.922511,14.370090,0.010828
347.989117,189.611971,14.778060,0.005925
348.816839,180.279004,14.888254,0.003573
349.347908,170.985230,14.900000,0.002265
349.685345,161.792271,14.900000,0.001343
