9.701609,4.196913,14.900000
9.714132,4.639678,14.900000
9.729798,5.082814,14.900000
9.751126,5.537892,14.833168
9.778154,6.014469,14.358065
9.777643,6.495082,13.138012
9.692610,6.942991,11.658933
9.469776,7.321404,10.554585
9.121228,7.599203,9.863610
8.710573,7.749744,9.414462
8.302812,7.746501,9.317877
7.962701,7.563243,9.807549
7.723181,7.211863,10.810521
7.554309,6.779190,11.980699
7.425150,6.327194,13.096952
7.314978,5.864072,14.018071
7.203983,5.393226,14.387028
7.071057,4.923235,13.841799
6.886302,4.497819,12.821466
6.617058,4.174041,12.378438
6.261848,3.964826,12.867608
5.857880,3.828318,13.734267
5.436045,3.728775,14.456818
5.002476,3.657483,14.805533
4.558947,3.610490,14.891724
4.107231,3.583843,14.900000
3.649103,3.573588,14.900000
3.186337,3.575773,14.900000
2.720707,3.586443,14.900000
2.253986,3.601648,14.900000
1.787948,3.617432,14.900000
1.324368,3.629844,14.900000
0.865020,3.634929,14.900000
0.411676,3.628736,14.900000
-0.034317,3.608029,14.900000
-0.475883,3.576723,14.900000
-0.918392,3.542830,14.900000
-1.367242,3.514412,14.900000
-1.827831,3.499530,14.873926
-2.305535,3.506210,14.646576
-2.795901,3.528840,13.859864
-3.269615,3.527293,12.442347
-3.693489,3.456066,10.979520
-4.034338,3.269657,10.207673
-4.262677,2.933466,10.348072
-4.373256,2.484251,10.975938
-4.370573,1.987466,11.391863
-4.259152,1.508642,11.323987
-4.043517,1.113311,11.224942
-3.731957,0.847848,11.611817
-3.346286,0.689804,12.458194
-2.911357,0.601284,13.437313
-2.452019,0.544392,14.267609
-1.989752,0.486554,14.738535
-1.529502,0.421269,14.882614
-1.071158,0.350012,14.900000
-0.614612,0.274260,14.900000
-0.159751,0.195490,14.900000
0.293534,0.115178,14.900000
0.745354,0.034801,14.900000
1.195820,-0.044165,14.900000
1.645043,-0.120241,14.900000
2.093132,-0.191953,14.900000
2.540199,-0.257823,14.900000
2.986355,-0.316374,14.900000
3.431715,-0.366127,14.900000
3.876769,-0.405391,14.900000
4.322596,-0.432146,14.900000
4.770326,-0.444344,14.900000
5.221089,-0.439932,14.900000
5.676015,-0.416863,14.900000
6.136234,-0.373087,14.900000
6.601979,-0.306571,14.900000
7.067171,-0.215413,14.900000
7.523028,-0.097766,14.900000
7.960754,0.048217,14.856226
8.371558,0.224385,14.536903
8.746646,0.432584,13.723834
9.071861,0.681881,12.929320
9.309965,1.012610,12.921748
9.454417,1.430387,13.611405
9.543086,1.888874,14.370090
9.604456,2.354401,14.778060
9.645842,2.821050,14.888254
9.672395,3.285738,14.900000
9.689267,3.745386,14.900000
